Year,Month,Day,TSU,EQ,Name,Location,Country,Latitude,Longitude,Time,VEI
1953,4,27,,,Aso,Kyushu-Japan,Japan,32.88,131.1,D1,2
1953,6,27,TSU,,St. Andrew Strait,Admiralty Is-SW Paci,Papua New Guinea,-2.38,147.35,D2,0
1953,6,,,,Sirung,Lesser Sunda Is,Indonesia,-8.51,124.148,D1,0
1953,7,26,,,Hakone,Honshu-Japan,Japan,35.22,139.02,D7,
1953,10,5,,,Oshima,Izu Is-Japan,Japan,34.73,139.38,D1,1
1953,12,24,,,Ruapehu,New Zealand,New Zealand,-39.28,175.57,D1,
1954,2,,TSU,,Stromboli,Italy,Italy,38.789,15.213,D1,
1954,7,21,,,Tate-yama,Honshu-Japan,Japan,36.57,137.6,D3,
1954,8,3,,,Bam,New Guinea-NE of,Papua New Guinea,-3.6,144.85,D2,2
1954,,,,,Camiguin,Mindanao-Philippines,Philippines,9.203,124.673,D2,
1955,7,26,,,Carran-Los Venados,Chile-C,Chile,-40.35,-72.07,D1,4
1955,10,13,,,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,D1,3
1956,3,30,TSU,,Bezymianny,Kamchatka,Russia,55.978,160.587,D1,5
1957,3,11,,EQ,Vsevidof,Aleutian Is,United States,53.13,-168.68,D3,2
1957,7,,,,Unzen,Kyushu-Japan,Japan,32.75,130.3,D1,
1957,8,,,,Oshima,Izu Is-Japan,Japan,34.73,139.38,D1,2
1957,10,,,,Aso,Kyushu-Japan,Japan,32.88,131.1,D1,2
1958,7,12,,,Mahawu,Sulawesi-Indonesia,Indonesia,1.358,124.858,D1,2
1958,7,21,,,Daisetsu,Hokkaido-Japan,Japan,43.68,142.88,D6,
1958,10,7,TSU,,Kuwae,Vanuatu-SW Pacific,Vanuatu,-16.829,168.536,D1,2
1960,5,25,TSU,EQ,Puyehue,Chile-C,Chile,-40.59,-72.117,U,3
1961,1,25,,,Calbuco,Chile-S,Chile,-41.326,-72.614,D2,3
1961,4,23,,,Tate-yama,Honshu-Japan,Japan,36.57,137.6,D3,
1961,5,8,,,Merapi,Java,Indonesia,-7.542,110.442,D1,3
1961,6,18,,,Daisetsu,Hokkaido-Japan,Japan,43.68,142.88,D6,
1961,8,18,,,Asama,Honshu-Japan,Japan,36.4,138.53,D1,2
1962,6,29,,,Tokachi,Hokkaido-Japan,Japan,43.42,142.68,D1,3
1962,10,,,,Merapi,Java,Indonesia,-7.542,110.442,D1,
